username,caption,location_url,location_name,location_id,latitude,longitude,date,likes,followers,poi_name,poi_type
wanderwithmia,"Golden hour stroll through Phoenix Park — deer sightings and peaceful paths. Wunderschön! 🌿✨ #Dublin #PhoenixPark #Ireland #park","https://www.google.com/maps/search/?api=1&query=Phoenix+Park+Dublin","Phoenix Park","dublin_phoenix_park",53.356,-6.333,2025-01-05,1842,382000,"Phoenix Park","park"
nomadic_nik,"Museum morning at the National Gallery of Ireland — so many masterpieces. Kunst & Kaffee afterwards ☕️🎨 #NationalGallery #Dublin","https://www.google.com/maps/search/?api=1&query=National+Gallery+of+Ireland+Dublin","National Gallery of Ireland","dublin_national_gallery",53.34,-6.252,2025-01-06,1320,245000,"National Gallery of Ireland","museum"
globe_greta,"Sandymount Beach sunrise — calm waves, soft light, pure bliss. Sonnenaufgang ftw 🌅🌊 #Sandymount #Strand #Dublin","https://www.google.com/maps/search/?api=1&query=Sandymount+Beach+Dublin","Sandymount Beach","dublin_sandymount_beach",53.321,-6.204,2025-01-08,2210,318000,"Sandymount Beach","beach"
roams_with_raj,"Howth Cliff Walk delivered those epic views — breezy and beautiful. Aussicht mega! 🥾🌊 #Howth #CliffWalk","https://www.google.com/maps/search/?api=1&query=Howth+Cliff+Walk+Dublin","Howth Cliff Walk","dublin_howth_cliff_walk",53.387,-6.063,2025-01-09,1987,208000,"Howth Cliff Walk","viewpoint"
travel_toni,"Temple Bar Food Market for local bites — fresh bread, cheeses, so lecker! 🥖🧀 #TempleBar #MarketDay","https://www.google.com/maps/search/?api=1&query=Temple+Bar+Food+Market+Dublin","Temple Bar Food Market","dublin_temple_bar_food_market",53.345,-6.266,2025-01-10,1540,167000,"Temple Bar Food Market","market"
wanderwithmia,"Quiet moments at St Stephen’s Green — winter colors and crisp air. Herrlich. 🍃🍂 #StStephensGreen #ParkLife","https://www.google.com/maps/search/?api=1&query=St+Stephen%27s+Green+Dublin","St Stephen's Green","dublin_st_stephens_green",53.339,-6.261,2025-01-12,1765,382000,"St Stephen's Green","park"
nomadic_nik,"Espresso perfection at 3fe — minimal vibes, max flavor. Kaffee goals ☕️👌 #3fe #DublinCafe","https://www.google.com/maps/search/?api=1&query=3fe+Grand+Canal+Dublin","3fe Grand Canal","dublin_3fe_grand_canal",53.337,-6.243,2025-01-14,1204,245000,"3fe Grand Canal","cafe"
globe_greta,"The long room at Trinity College — book lover’s dream. Bibliothek vibes 📚💚 #Trinity #LongRoom","https://www.google.com/maps/search/?api=1&query=Trinity+College+Long+Room+Dublin","Trinity College - The Long Room","dublin_trinity_long_room",53.343,-6.254,2025-01-16,2433,318000,"Trinity College - The Long Room","museum"
roams_with_raj,"Guinness Storehouse tour — history, brewing, and rooftop views. Prost/Sláinte! 🍺🏛️ #GuinnessStorehouse","https://www.google.com/maps/search/?api=1&query=Guinness+Storehouse+Dublin","Guinness Storehouse","dublin_guinness_storehouse",53.341,-6.286,2025-01-18,2654,208000,"Guinness Storehouse","museum"
travel_toni,"EPIC The Irish Emigration Museum — stories that move you. So gut gemacht! 🎟️🌍 #EPIC #Museum","https://www.google.com/maps/search/?api=1&query=EPIC+The+Irish+Emigration+Museum+Dublin","EPIC The Irish Emigration Museum","dublin_epic_museum",53.348,-6.241,2025-01-19,1411,167000,"EPIC The Irish Emigration Museum","museum"
wanderwithmia,"Ha’penny Bridge at twilight — reflections and city romance. Lieb ich. 🌉✨ #HapennyBridge #Dublin","https://www.google.com/maps/search/?api=1&query=Ha%27penny+Bridge+Dublin","Ha'penny Bridge","dublin_hapenny_bridge",53.346,-6.262,2025-01-21,1901,382000,"Ha'penny Bridge","monument"
nomadic_nik,"Chapter One dinner — creative plates, warm service. Feels special. 🍽️⭐️ #ChapterOne #Restaurant","https://www.google.com/maps/search/?api=1&query=Chapter+One+Dublin","Chapter One","dublin_chapter_one",53.353,-6.264,2025-01-23,1738,245000,"Chapter One","restaurant"
globe_greta,"Iveagh Gardens — hidden gem in the city. Ruhe mitten im Trubel. 🌿✨ #IveaghGardens #Park","https://www.google.com/maps/search/?api=1&query=Iveagh+Gardens+Dublin","Iveagh Gardens","dublin_iveagh_gardens",53.334,-6.262,2025-01-25,1602,318000,"Iveagh Gardens","park"
roams_with_raj,"National Museum of Ireland - Archaeology — gold, bog bodies, stories. Faszinierend! 🏺 #Archaeology","https://www.google.com/maps/search/?api=1&query=National+Museum+of+Ireland+Archaeology+Dublin","National Museum of Ireland - Archaeology","dublin_nmi_archaeology",53.3395,-6.255,2025-01-27,1490,208000,"National Museum of Ireland - Archaeology","museum"
travel_toni,"Bewley’s on Grafton Street — ornate interiors and perfect scones. Kaffee & Kuchen vibes ☕️🥐 #Bewleys","https://www.google.com/maps/search/?api=1&query=Bewley%27s+Grafton+Street+Dublin","Bewley's Grafton Street","dublin_bewleys_grafton",53.341,-6.259,2025-01-29,1682,167000,"Bewley's Grafton Street","cafe"
wanderwithmia,"Dublin Castle courtyard — textures, colors, and calm corners. Schlossmomente. 🏰🌤️ #DublinCastle","https://www.google.com/maps/search/?api=1&query=Dublin+Castle+Dublin","Dublin Castle","dublin_dublin_castle",53.343,-6.267,2025-02-01,2005,382000,"Dublin Castle","palace"
nomadic_nik,"Kaph flat white — tiny spot, massive flavor. Perfekt für eine kurze Pause. ☕️💥 #Kaph #Coffee","https://www.google.com/maps/search/?api=1&query=Kaph+Dublin","Kaph","dublin_kaph_cafe",53.342,-6.263,2025-02-03,1189,245000,"Kaph","cafe"
globe_greta,"Croke Park Skyline Tour — urban panorama, wind in the hair. Aussicht top! 🏟️🌆 #CrokePark","https://www.google.com/maps/search/?api=1&query=Croke+Park+Skyline+Tour+Dublin","Croke Park Skyline","dublin_croke_park_skyline",53.36,-6.249,2025-02-05,2352,318000,"Croke Park Skyline","viewpoint"
roams_with_raj,"Kilmainham Gaol — haunting history and powerful stories. Gänsehaut. 🗝️ #Kilmainham #Museum","https://www.google.com/maps/search/?api=1&query=Kilmainham+Gaol+Dublin","Kilmainham Gaol","dublin_kilmainham_gaol",53.342,-6.309,2025-02-07,2120,208000,"Kilmainham Gaol","museum"
travel_toni,"George’s Street Arcade — vintage finds and local designers. Shopping Spaß! 🛍️ #GeorgesStreetArcade","https://www.google.com/maps/search/?api=1&query=George%27s+Street+Arcade+Dublin","George's Street Arcade","dublin_georges_st_arcade",53.342,-6.264,2025-02-09,1564,167000,"George's Street Arcade","market"
wanderwithmia,"St Patrick’s Cathedral — soaring spires and quiet pews. Andacht & Architektur. ⛪️💫 #StPatricks","https://www.google.com/maps/search/?api=1&query=St+Patrick%27s+Cathedral+Dublin","St Patrick’s Cathedral","dublin_st_patricks_cathedral",53.339,-6.271,2025-02-11,1777,382000,"St Patrick’s Cathedral","church"
nomadic_nik,"The Winding Stair — river views and comforting dishes. Gemütlich essen. 🍴🌉 #WindingStair","https://www.google.com/maps/search/?api=1&query=The+Winding+Stair+Dublin","The Winding Stair","dublin_winding_stair",53.346,-6.263,2025-02-13,1654,245000,"The Winding Stair","restaurant"
globe_greta,"EPIC Museum revisit — interactive exhibits that stick with you. Lernen macht Spaß. 🎧📜 #EPIC","https://www.google.com/maps/search/?api=1&query=EPIC+The+Irish+Emigration+Museum+Dublin","EPIC The Irish Emigration Museum","dublin_epic_museum",53.348,-6.241,2025-02-15,1981,318000,"EPIC The Irish Emigration Museum","museum"
