username,caption,location_url,location_name,location_id,latitude,longitude,date,likes,followers
barcelona_robs,"Fira de Santa Llúcia essentials: hours 10:00–21:00, best time 10:00–12:00, must-buys: traditional pessebre figures, caganer, natural wreaths. Enter by Avinguda de la Catedral, exit toward Via Laietana. Pair with hot chocolate on Carrer Petritxol.",https://www.instagram.com/explore/locations/589419234/fira-de-santa-llucia/,Fira de Santa Llúcia,445521482541800,41.384167,2.176389,2025-12-05T10:15:00.000Z,1712,198000
axow_barcelona,"Sagrada Família Christmas Market guide: stalls for crafts and seasonal food on Plaça de la Sagrada Família. Go after 17:00 for lights, before 12:00 for fewer crowds. Try churros con chocolate at the corner stand.",https://www.instagram.com/explore/locations/230456789/sagrada-familia/,Fira de Nadal de la Sagrada Família,445521482541801,41.403629,2.174356,2025-12-06T17:40:00.000Z,1584,156000
spainwithgabi,"Port Vell Christmas fair: waterfront market with light tunnel and ferris wheel. Best photos from Rambla de Mar bridge. Budget tip: weekday evenings are quieter and cheaper on rides.",https://www.instagram.com/explore/locations/228881022/port-vell/,Port Vell Christmas Fair,445521482541802,41.379167,2.183333,2025-12-08T19:05:00.000Z,1490,142000
lauratoursbarcelona,"Calçotada season has started. For a classic experience in the city: Can Travi Nou (Horta) and Can Cortada (Vall d’Hebron). Order calçots with romesco, then grilled lamb, finish with crema catalana. Weekends book out fast.",https://www.instagram.com/explore/locations/213459002/can-travi-nou/,Can Travi Nou,445521482541803,41.440200,2.155600,2026-01-18T13:10:00.000Z,1321,167000
patrickguidebarcelona,"Three Kings Parade route basics: arrival at Port Vell, procession along Pg. Colom → Via Laietana → Pl. Catalunya → Sepúlveda. Start lining up 60–90 minutes early, bring cash for churros stands.",https://www.instagram.com/explore/locations/228881022/port-vell/,Cavalcada de Reis Start,445521482541804,41.377900,2.187300,2026-01-05T16:30:00.000Z,2056,183000
barcelona.travelers,"Poble Espanyol Christmas market: artisan gifts, live choirs, and kids’ activities. Good half-day plan with a stop at the MNAC steps for sunset.",https://www.instagram.com/explore/locations/228024628/poble-espanyol/,Poble Espanyol Christmas,445521482541805,41.368056,2.148611,2025-12-10T15:20:00.000Z,1723,215000
barcelona_robs,"Hot chocolate and churros on Carrer Petritxol: Granja Dulcinea and Granja La Pallaresa. Go 16:00–18:00 to beat the evening rush. Order ‘xurros amb xocolata’ and a crema catalana to share.",https://www.instagram.com/explore/locations/227657142/carrer-de-petritxol/,Carrer de Petritxol,445521482541806,41.382400,2.173900,2025-12-12T16:25:00.000Z,1634,198000
axow_barcelona,"Passeig de Gràcia winter lights photography walk: start at Plaça Catalunya, continue to Diagonal. Best frames at Casa Batlló, Casa Amatller, and Casa Milà corners. Blue hour gives clean color balance.",https://www.instagram.com/explore/locations/244852106/passeig-de-gracia/,Passeig de Gràcia Lights,445521482541807,41.391900,2.165100,2025-12-09T17:10:00.000Z,1412,156000
spainwithgabi,"Sant Pau ‘lights garden’ evening visit: timed entry, plan 60–90 minutes. Combine with a Sagrada Família exterior loop. Bring a tripod alternative like a clamp; tripods sometimes restricted.",https://www.instagram.com/explore/locations/227778549/recinte-modernista-de-sant-pau/,Sant Pau Lights,445521482541808,41.414200,2.175600,2025-12-14T19:10:00.000Z,1541,142000
lauratoursbarcelona,"Fira de Reis de la Gran Via: Jan 2–5 gift market along Gran Via de les Corts Catalanes. Toys and artisan booths; weekdays 17:00–21:00 are easiest for browsing.",https://www.instagram.com/explore/locations/589419389/fira-de-reis-gran-via/,Fira de Reis Gran Via,445521482541809,41.385900,2.155400,2026-01-03T18:05:00.000Z,1298,167000
patrickguidebarcelona,"Calçots near Barcelona without a car: Can Cortada (L3 Montbau + 15 min walk) or El Glop Eixample for a city set menu. Peak season late Jan–March.",https://www.instagram.com/explore/locations/228925111/restaurant-can-cortada/,Can Cortada,445521482541810,41.431900,2.167300,2026-02-02T13:20:00.000Z,1376,183000
barcelona.travelers,"Magic Fountain winter schedule changes. Check official site before going; winter shows usually Fri–Sat early evenings. View from the MNAC steps is best.",https://www.instagram.com/explore/locations/227657124/font-magica/,Font Màgica,445521482541811,41.371111,2.151944,2025-12-20T19:00:00.000Z,1880,215000
barcelona_robs,"Nativity scenes to see: Plaça Sant Jaume civic pessebre and Museu Frederic Marès collection. Short loop: Sant Jaume → Marès → Cathedral cloister.",https://www.instagram.com/explore/locations/227657151/placa-sant-jaume/,Plaça Sant Jaume,445521482541812,41.382700,2.176200,2025-12-13T12:35:00.000Z,1356,198000
axow_barcelona,"Indoor day for cold weather: CosmoCaixa science museum, then hot chocolate on Petritxol, finish with Palau de la Música tour.",https://www.instagram.com/explore/locations/228024736/cosmocaixa-barcelona/,CosmoCaixa,445521482541813,41.412100,2.130300,2025-12-21T11:20:00.000Z,1324,156000
spainwithgabi,"Aire Ancient Baths winter booking tips: weekday mornings are quieter, reserve thermal circuit plus 30’ massage, allow 2 hours total.",https://www.instagram.com/explore/locations/228024745/aire-barcelona/,Aire de Barcelona,445521482541814,41.385600,2.182900,2026-01-16T10:10:00.000Z,1462,142000
lauratoursbarcelona,"Fabra i Coats toy factory experience for families (Sant Andreu). Limited runs before the Three Kings. Book in advance; combine with Sant Andreu market.",https://www.instagram.com/explore/locations/228024754/fabra-i-coats/,Fabra i Coats,445521482541815,41.435700,2.189400,2026-01-03T11:00:00.000Z,1189,167000
patrickguidebarcelona,"Ski day trip: La Molina and Masella. Train to Puigcerdà then bus, or rent a car. Buy lift passes online to save; midweek has better snow and fewer queues.",https://www.instagram.com/explore/locations/226808289/la-molina/,La Molina,445521482541816,42.336900,1.935500,2026-01-22T07:20:00.000Z,1644,183000
barcelona.travelers,"Vall de Núria winter plan without a car: R3 train to Ribes de Freser, rack railway to Núria. Sledding and snowshoe rental on site.",https://www.instagram.com/explore/locations/224328223/vall-de-nuria/,Vall de Núria,445521482541817,42.408300,2.158100,2026-01-19T09:15:00.000Z,1711,215000
barcelona_robs,"Castanyes i moniatos stands: roasted chestnuts and sweet potatoes on Rambla Catalunya and Portal de l’Àngel. Bring cash; warm snack between markets.",https://www.instagram.com/explore/locations/227657160/portal-de-lang el/,Portal de l’Àngel,445521482541818,41.386100,2.171900,2025-12-07T17:10:00.000Z,1423,198000
axow_barcelona,"Llums on Via Laietana and Born: quick evening loop with stops at Santa Maria del Mar and El Xampanyet for a glass of cava and an anchovy.",https://www.instagram.com/explore/locations/227912116/santa-maria-del-mar/,Santa Maria del Mar,445521482541819,41.383600,2.182200,2025-12-11T18:10:00.000Z,1398,156000
spainwithgabi,"Gràcia winter evenings: Plaça del Sol terraces have heaters; pair with a bowl of escudella at a neighborhood bodega. Finish with gelato at DelaCrem if weather allows.",https://www.instagram.com/explore/locations/244851981/gracia/,Gràcia,445521482541820,41.403600,2.156400,2025-12-18T20:00:00.000Z,1274,142000
lauratoursbarcelona,"Indoor ice rink pop-up at L’Hospitalet La Farga (seasonal). Gloves required, online tickets recommended on weekends.",https://www.instagram.com/explore/locations/228024763/la-farga-lhospitalet/,La Farga Ice Rink,445521482541821,41.366600,2.108100,2025-12-22T16:30:00.000Z,1202,167000
patrickguidebarcelona,"Fira de Nadal al Port Vell: ride the ferris wheel at blue hour, then cross to Barceloneta for seafood soup and a walk on the boardwalk.",https://www.instagram.com/explore/locations/228881022/port-vell/,Port Vell,445521482541822,41.376900,2.188600,2025-12-15T18:05:00.000Z,1760,183000
barcelona.travelers,"Montjuïc cable car in winter: fewer lines and clearer air after cold fronts. Combine the castle visit with a stop at the cactus garden.",https://www.instagram.com/explore/locations/241726317/teleferic-de-montjuic/,Telefèric de Montjuïc,445521482541823,41.365800,2.168000,2026-01-10T12:30:00.000Z,1622,215000
barcelona_robs,"Petritxol street loop on a rainy day: start at Dulcinea, visit a couple of small galleries, end at La Pallaresa. Bring cash; some spots don’t take cards.",https://www.instagram.com/explore/locations/227657142/carrer-de-petritxol/,Carrer de Petritxol,445521482541824,41.382400,2.173900,2025-12-16T15:00:00.000Z,1319,198000
axow_barcelona,"Eixample lights route: Rambla Catalunya to Diagonal with short detours to Casa Batlló and Casa Milà rooftops if rain pushes you indoors.",https://www.instagram.com/explore/locations/235334269/casa-mila/,Casa Milà,445521482541825,41.395300,2.161900,2025-12-19T17:20:00.000Z,1368,156000
spainwithgabi,"Museu Marítim for a cold morning, then seafood lunch at Barceloneta and the Port Vell market lights after sunset.",https://www.instagram.com/explore/locations/228024673/museu-maritim-de-barcelona/,Museu Marítim,445521482541826,41.375800,2.174200,2025-12-20T10:05:00.000Z,1287,142000
lauratoursbarcelona,"Festa dels Tres Tombs (Sant Antoni, mid-January): horse parade and blessing of animals. Arrive 30 minutes early near Carrer del Parlament.",https://www.instagram.com/explore/locations/244852008/sant-antoni/,Sant Antoni,445521482541827,41.376100,2.162800,2026-01-17T11:30:00.000Z,1402,167000
patrickguidebarcelona,"Santa Eulàlia Festival in February: human towers, correfocs, and free museum entries. Base yourself around Plaça Sant Jaume.",https://www.instagram.com/explore/locations/227657151/placa-sant-jaume/,Santa Eulàlia Fest,445521482541828,41.382700,2.176200,2026-02-08T12:40:00.000Z,1511,183000
barcelona.travelers,"Sagrada Família interior in winter light: book last two entry slots for warm tones on the Passion facade windows; earlier slots for cooler tones on the Nativity side.",https://www.instagram.com/explore/locations/230456789/sagrada-familia/,Sagrada Família Interior,445521482541829,41.403700,2.174400,2025-12-28T16:20:00.000Z,1988,215000
barcelona_robs,"Cava tastings for winter afternoons: La Vinya del Senyor on the Santa Maria del Mar square and Bar Brutal in Born for natural wines.",https://www.instagram.com/explore/locations/589419045/bar-brutal/,Bar Brutal,445521482541830,41.383700,2.183500,2025-12-29T18:10:00.000Z,1462,198000
axow_barcelona,"Chocolate Museum as a rainy day backup. Add a Petritxol stop, then walk to the Cathedral cloister to see the geese.",https://www.instagram.com/explore/locations/228024772/museu-de-la-xocolata/,Museu de la Xocolata,445521482541831,41.385700,2.182100,2026-01-04T11:00:00.000Z,1289,156000
spainwithgabi,"Calçot day trip to Valls: take the train to Tarragona and transfer by bus, or rent a car. Most masies require reservations.",https://www.instagram.com/explore/locations/218855819/tarragona/,Valls Calçotada Base,445521482541832,41.285000,1.249000,2026-01-26T09:00:00.000Z,1701,142000
lauratoursbarcelona,"Cathedral cloister in winter: quiet mornings, geese in the courtyard, and the Fira de Santa Llúcia stalls still open before Christmas.",https://www.instagram.com/explore/locations/227657169/barcelona-cathedral/,Cathedral of Barcelona,445521482541833,41.383900,2.176300,2025-12-18T09:05:00.000Z,1441,167000
patrickguidebarcelona,"Born evening route in December: Passeig del Born lights, El Xampanyet for cava and anchovies, then Paradiso if you want a cocktail and can get a slot.",https://www.instagram.com/explore/locations/244714999/el-born/,El Born Lights,445521482541834,41.384400,2.183000,2025-12-22T19:00:00.000Z,1622,183000
barcelona.travelers,"Telefèric del Port (harbor cable car) can be windy in winter; check operations before heading over. One-way up, walk Montjuïc gardens down.",https://www.instagram.com/explore/locations/228024646/teleferic-del-port/,Telefèric del Port,445521482541835,41.375600,2.188900,2025-12-27T12:30:00.000Z,1505,215000
barcelona_robs,"Sants indoor markets as weather backup: Hostafrancs and Mercat de Sants. Great for picnic supplies and hot lunches on a budget.",https://www.instagram.com/explore/locations/228024781/mercat-de-sants/,Mercat de Sants,445521482541836,41.375200,2.139500,2026-01-06T11:20:00.000Z,1187,198000
axow_barcelona,"Gothic Quarter winter morning photography: Carrer del Bisbe bridge, Plaça del Rei, and the Roman columns on Carrer Paradís. Aim for 08:00–09:00.",https://www.instagram.com/explore/locations/589419178/carrer-del-bisbe/,Carrer del Bisbe,445521482541837,41.383900,2.176100,2026-01-08T08:15:00.000Z,1604,156000
spainwithgabi,"Ice skating practice: temporary rinks rotate around the metro area. If central options are closed, check Hospitalet La Farga or Badalona.",https://www.instagram.com/explore/locations/228024763/la-farga-lhospitalet/,Seasonal Ice Rink,445521482541838,41.366600,2.108100,2025-12-23T17:05:00.000Z,1203,142000
lauratoursbarcelona,"Passeig de Sant Joan winter lights plus a quick stop at Arc de Triomf and a warm-up in Parc de la Ciutadella greenhouse if open.",https://www.instagram.com/explore/locations/227655551/arc-de-triomf/,Arc de Triomf,445521482541839,41.391100,2.180600,2025-12-17T18:05:00.000Z,1254,167000
patrickguidebarcelona,"January museum strategy: Picasso on Thursday late hours (often reduced), then dinner in Born. Buy tickets online to avoid queues.",https://www.instagram.com/explore/locations/241971216/museu-picasso/,Museu Picasso,445521482541840,41.385300,2.180600,2026-01-09T17:40:00.000Z,1478,183000
barcelona.travelers,"MNAC and the Olympic Ring on crisp winter afternoons: clear views from the terrace, then sunset over Plaça d’Espanya.",https://www.instagram.com/explore/locations/228024637/museu-nacional-dart-de-catalunya/,MNAC,445521482541841,41.368400,2.153600,2025-12-30T16:00:00.000Z,1655,215000
barcelona_robs,"Gràcia indoor cinemas showing VOSE films for cold nights: Verdi and Bosque. Pair with ramen at Koku Kitchen or a slice at Parking Pizza.",https://www.instagram.com/explore/locations/228024790/cines-verdi/,Cines Verdi,445521482541842,41.404700,2.153000,2026-01-11T20:30:00.000Z,1176,198000
axow_barcelona,"Calçots in the city without fuss: El Glop (Eixample) set menus include grilled calçots, botifarra, and wine. Reserve weekends.",https://www.instagram.com/explore/locations/228024799/el-glop/,El Glop Eixample,445521482541843,41.395800,2.164300,2026-02-01T13:10:00.000Z,1299,156000
spainwithgabi,"Cavalcada de Reis viewing spots with space: near Estació de França and Parc de la Ciutadella perimeter. Bring layers; the sea breeze is cold.",https://www.instagram.com/explore/locations/228024808/estacio-de-franca/,Estació de França,445521482541844,41.383000,2.195000,2026-01-05T17:10:00.000Z,1765,142000
lauratoursbarcelona,"Pessebre at Plaça Sant Jaume changes theme each year. Read the info panels to understand the concept; some are abstract.",https://www.instagram.com/explore/locations/227657151/placa-sant-jaume/,Plaça Sant Jaume Pessebre,445521482541845,41.382700,2.176200,2025-12-06T12:20:00.000Z,1194,167000
patrickguidebarcelona,"Rooftop winter openings: Hotel 1898 Sky Bar stays open with heaters; Barceló Raval 360 deck is another option. Dress warm.",https://www.instagram.com/explore/locations/228024817/hotel-1898/,Hotel 1898 Sky Bar,445521482541846,41.382900,2.171100,2026-01-24T18:00:00.000Z,1530,183000
barcelona.travelers,"Holiday lights walk: Portal de l’Àngel → Cathedral → Santa Llúcia → Born → Santa Maria del Mar → Passeig del Born. Allow two hours.",https://www.instagram.com/explore/locations/227657160/portal-de-langel/,Portal de l’Àngel,445521482541847,41.386100,2.171900,2025-12-15T18:00:00.000Z,1611,215000
barcelona_robs,"Raval rainy-day trio: MACBA exhibits, CCCB courtyard, and a long lunch at Bar Cañete. Everything within a five-minute walk.",https://www.instagram.com/explore/locations/228024718/cccb/,CCCB,445521482541848,41.383100,2.166400,2025-12-19T12:00:00.000Z,1405,198000
axow_barcelona,"Santa Maria del Mar winter rooftop tours run on select weekends. Book early; the Born views are clear on cold days.",https://www.instagram.com/explore/locations/227912116/santa-maria-del-mar/,Santa Maria del Mar Rooftop,445521482541849,41.383600,2.182200,2026-02-07T11:20:00.000Z,1486,156000
spainwithgabi,"Sitges off-season day: empty beaches, coastal path to Terramar, lunch at a chiringuito that stays open year-round.",https://www.instagram.com/explore/locations/218589811/sitges/,Sitges Winter,445521482541850,41.237500,1.805600,2026-01-13T11:10:00.000Z,1667,142000
lauratoursbarcelona,"Casa Vicens morning visit when it’s quiet, then coffee on Carrer de les Carolines. Compact museum for a cold day.",https://www.instagram.com/explore/locations/1941095932/casa-vicens/,Casa Vicens,445521482541851,41.403500,2.150500,2026-01-15T10:30:00.000Z,1281,167000
patrickguidebarcelona,"January calçot set menus that include calcots, charcoal meats, wine, and crema catalana typically run €28–€38 in town. Always reserve.",https://www.instagram.com/explore/locations/228024799/el-glop/,El Glop,445521482541852,41.395800,2.164300,2026-01-21T13:30:00.000Z,1320,183000
barcelona.travelers,"Port Vell sunset loop: start at the old customs building, cross Rambla de Mar, photograph the market lights, end in Barceloneta.",https://www.instagram.com/explore/locations/228881022/port-vell/,Port Vell Loop,445521482541853,41.378600,2.187900,2025-12-26T17:20:00.000Z,1744,215000
barcelona_robs,"Warm winter dishes to order: escudella i carn d’olla, suquet de peix, and botifarra with mongetes. Find them at traditional casas de menjar in Eixample and Gràcia.",https://www.instagram.com/explore/locations/244852044/cerveceria-catalana/,Traditional Eixample,445521482541854,41.393500,2.159100,2026-01-02T13:10:00.000Z,1390,198000
axow_barcelona,"Frederic Marès nativity rooms as a quick detour from the Cathedral. Short, calm, and warm inside.",https://www.instagram.com/explore/locations/228024826/museu-frederic-mares/,Museu Frederic Marès,445521482541855,41.383900,2.176900,2025-12-13T11:30:00.000Z,1210,156000
spainwithgabi,"Montseny winter hike on clear days: short loops from Santa Fe del Montseny. Dress for cold shade, and start early.",https://www.instagram.com/explore/locations/228024835/parc-natural-del-montseny/,Montseny,445521482541856,41.766700,2.400000,2026-01-27T09:00:00.000Z,1689,142000
lauratoursbarcelona,"Gran Via de les Corts Catalanes lights plus Sant Antoni book and coin Sunday market if you’re in town early January.",https://www.instagram.com/explore/locations/244852008/sant-antoni/,Sant Antoni Books,445521482541857,41.376100,2.162800,2026-01-04T10:30:00.000Z,1205,167000
patrickguidebarcelona,"If cold rain hits: Batlló or Pedrera interiors, coffee break at Laie Pau Claris, then Bar Brutal for natural wine.",https://www.instagram.com/explore/locations/228421399/casa-batllo/,Casa Batlló Rain Plan,445521482541858,41.391700,2.164900,2025-12-18T15:00:00.000Z,1502,183000
