username,caption,location_url,location_name,location_id,latitude,longitude,date,likes,followers
axow_london,"Courtauld Gallery at Somerset House; focus on Impressionists and the Great Room, then a short walk along the Strand.",https://www.instagram.com/explore/locations/228000115/courtauld-gallery/,Courtauld Gallery,555421482540201,51.511200,-0.116100,2026-02-10T11:00:00.000Z,1520,156000
london_robs,"Sir John Soane’s Museum; compact visit with timed entry, highlights include the Picture Room and Hogarth.",https://www.instagram.com/explore/locations/228000116/sir-john-soanes-museum/,Sir John Soane’s Museum,555421482540202,51.517000,-0.117800,2026-02-10T12:30:00.000Z,1388,198000
ukwithgabi,"Wellcome Collection; Medicine Man and temporary exhibitions, then tea in the café.",https://www.instagram.com/explore/locations/228000117/wellcome-collection/,Wellcome Collection,555421482540203,51.525100,-0.135900,2026-02-10T14:10:00.000Z,1426,142000
london.travelers,"Museum of Brands in Notting Hill; one-hour visit for packaging history and a coffee on Ladbroke Grove.",https://www.instagram.com/explore/locations/228000118/museum-of-brands/,Museum of Brands,555421482540204,51.516600,-0.205800,2026-02-10T15:45:00.000Z,1310,215000
patrickguidelondon,"Grant Museum of Zoology; quick specimen highlights and a Bloomsbury café stop afterward.",https://www.instagram.com/explore/locations/228000119/grant-museum-of-zoology/,Grant Museum of Zoology,555421482540205,51.524000,-0.132000,2026-02-10T11:40:00.000Z,1268,183000
axow_london,"London Mithraeum Bloomberg SPACE; free timed entry, combine with a loop around the Bank area.",https://www.instagram.com/explore/locations/228000120/london-mithraeum/,London Mithraeum,555421482540206,51.512300,-0.090500,2026-02-11T10:30:00.000Z,1612,156000
london_robs,"Guildhall Art Gallery; Victorian paintings and the Roman amphitheatre remains below.",https://www.instagram.com/explore/locations/228000121/guildhall-art-gallery/,Guildhall Art Gallery,555421482540207,51.515400,-0.092800,2026-02-11T12:20:00.000Z,1479,198000
ukwithgabi,"Bank of England Museum; short visit and a walk through the Royal Exchange for coffee.",https://www.instagram.com/explore/locations/228000122/bank-of-england-museum/,Bank of England Museum,555421482540208,51.514300,-0.089900,2026-02-11T13:45:00.000Z,1284,142000
london.travelers,"Monument to the Great Fire; climb for a city view and learn the history at the base.",https://www.instagram.com/explore/locations/228000123/the-monument/,The Monument,555421482540209,51.510700,-0.085900,2026-02-11T11:20:00.000Z,1692,215000
patrickguidelondon,"St Bride’s Church; Fleet Street stop for the wedding cake spire and crypt museum.",https://www.instagram.com/explore/locations/228000124/st-brides-church/,St Bride’s Church,555421482540210,51.513300,-0.104800,2026-02-11T14:30:00.000Z,1346,183000
axow_london,"Temple Church; check opening hours for tours and walk the Inns of Court.",https://www.instagram.com/explore/locations/228000125/temple-church/,Temple Church,555421482540211,51.513600,-0.111000,2026-02-12T11:00:00.000Z,1578,156000
london_robs,"Lincoln’s Inn; quiet courtyard architecture and a loop to Carey Street passageways.",https://www.instagram.com/explore/locations/228000126/lincolns-inn/,Lincoln’s Inn,555421482540212,51.515500,-0.113800,2026-02-12T12:40:00.000Z,1256,198000
ukwithgabi,"Somerset House Courtauld entrance; short façade study and Strand cafés.",https://www.instagram.com/explore/locations/228000115/courtauld-gallery/,Somerset House Courtyard,555421482540213,51.511100,-0.116700,2026-02-12T13:20:00.000Z,1322,142000
london.travelers,"Strand to Aldwych loop; Bush House façade and quick photos at Australia House.",https://www.instagram.com/explore/locations/228000127/aldwych/,Aldwych,555421482540214,51.513800,-0.118500,2026-02-12T15:10:00.000Z,1184,215000
patrickguidelondon,"Victoria Embankment Gardens; sheltered benches and nearby café stops.",https://www.instagram.com/explore/locations/228000109/victoria-embankment/,Victoria Embankment Gardens,555421482540215,51.509600,-0.123400,2026-02-12T11:30:00.000Z,1240,183000
