username,caption,location_url,location_name,location_id,latitude,longitude,date,likes,followers
axow_london,"Buckingham Palace changing of the guard; arrive 30–45 minutes early and watch from the Victoria Memorial side.",https://www.instagram.com/explore/locations/228000001/buckingham-palace/,Buckingham Palace,555421482540001,51.501364,-0.141890,2025-12-06T10:30:00.000Z,1820,156000
london_robs,"Westminster Abbey late-afternoon visit; book online and allow 90 minutes for the nave, cloisters, and Chapter House.",https://www.instagram.com/explore/locations/228000002/westminster-abbey/,Westminster Abbey,555421482540002,51.499292,-0.127309,2025-12-06T16:10:00.000Z,2011,198000
ukwithgabi,"London Eye at dusk; prebook a sunset slot for Thames views and the skyline lights coming on.",https://www.instagram.com/explore/locations/228000003/london-eye/,London Eye,555421482540003,51.503325,-0.119543,2025-12-07T16:20:00.000Z,1688,142000
london.travelers,"Big Ben and Houses of Parliament photo stop; best angle from the south bank near Westminster Bridge.",https://www.instagram.com/explore/locations/228000004/houses-of-parliament/,Houses of Parliament,555421482540004,51.499477,-0.124673,2025-12-07T11:15:00.000Z,2102,215000
patrickguidelondon,"Tower of London first entry; go straight to the Crown Jewels, then join a Yeoman Warder tour.",https://www.instagram.com/explore/locations/228000005/tower-of-london/,Tower of London,555421482540005,51.508112,-0.075949,2025-12-08T09:05:00.000Z,1763,183000
axow_london,"Tower Bridge Exhibition; time your visit to catch a bascule lift and walk the glass floor.",https://www.instagram.com/explore/locations/228000006/tower-bridge/,Tower Bridge,555421482540006,51.505456,-0.075356,2025-12-08T12:40:00.000Z,1542,156000
london_robs,"View from The Shard; book later afternoon and stay until night for two lighting conditions.",https://www.instagram.com/explore/locations/228000007/the-shard/,The Shard (View),555421482540007,51.504500,-0.086500,2025-12-08T16:10:00.000Z,2234,198000
ukwithgabi,"Sky Garden free ticket; reserve one week ahead and walk down to Fenchurch Terrace for a warm drink.",https://www.instagram.com/explore/locations/228000008/sky-garden/,Sky Garden,555421482540008,51.510881,-0.083778,2025-12-09T10:00:00.000Z,1604,142000
london.travelers,"St Paul’s Cathedral; climb the dome if open and loop Millennium Bridge to Tate Modern.",https://www.instagram.com/explore/locations/228000009/st-pauls-cathedral/,St Paul’s Cathedral,555421482540009,51.513845,-0.098351,2025-12-09T13:15:00.000Z,1967,215000
patrickguidelondon,"Borough Market lunch; arrive before noon, try a soup stand in winter and mulled cider near Southwark Cathedral.",https://www.instagram.com/explore/locations/228000010/borough-market/,Borough Market,555421482540010,51.505456,-0.091059,2025-12-09T11:30:00.000Z,1842,183000
axow_london,"Maltby Street Market; Saturday mid-morning for less crowd and coffee at the ropewalk.",https://www.instagram.com/explore/locations/228000011/maltby-street-market/,Maltby Street Market,555421482540011,51.495200,-0.078900,2025-12-13T10:30:00.000Z,1468,156000
london_robs,"Camden Market winter evening; browse street food then walk Regent’s Canal to Primrose Hill.",https://www.instagram.com/explore/locations/228000012/camden-market/,Camden Market,555421482540012,51.541000,-0.146000,2025-12-12T18:10:00.000Z,2095,198000
ukwithgabi,"Covent Garden Apple Market; check the schedule for craft stalls and see the Christmas decorations.",https://www.instagram.com/explore/locations/228000013/covent-garden/,Covent Garden,555421482540013,51.511800,-0.123300,2025-12-12T16:50:00.000Z,1523,142000
london.travelers,"Neal’s Yard quick stop; best color photos on overcast days, then tea at Monmouth.",https://www.instagram.com/explore/locations/228000014/neals-yard/,Neal’s Yard,555421482540014,51.511140,-0.125480,2025-12-11T15:05:00.000Z,1739,215000
patrickguidelondon,"Seven Dials lights loop; arrive at blue hour and include the courtyard of St Martin’s.",https://www.instagram.com/explore/locations/228000015/seven-dials/,Seven Dials,555421482540015,51.512500,-0.126300,2025-12-11T16:15:00.000Z,1598,183000
axow_london,"Trafalgar Square; National Gallery quick highlights and a photo stop by the fountains.",https://www.instagram.com/explore/locations/228000016/trafalgar-square/,Trafalgar Square,555421482540016,51.508091,-0.128590,2025-12-10T12:30:00.000Z,1877,156000
london_robs,"National Gallery late opening; 60–90 minutes for Impressionists and Sainsbury Wing.",https://www.instagram.com/explore/locations/228000017/national-gallery/,National Gallery,555421482540017,51.508939,-0.128299,2025-12-10T18:30:00.000Z,2143,198000
ukwithgabi,"British Museum morning entry; go to the Great Court, Parthenon sculptures, and Enlightenment Gallery.",https://www.instagram.com/explore/locations/228000018/british-museum/,British Museum,555421482540018,51.519413,-0.126957,2025-12-14T09:30:00.000Z,1720,142000
london.travelers,"V&A museum; combine with Natural History and Science Museum for a full indoor day.",https://www.instagram.com/explore/locations/228000019/victoria-and-albert-museum/,Victoria and Albert Museum,555421482540019,51.496639,-0.172180,2025-12-14T11:10:00.000Z,2056,215000
patrickguidelondon,"Natural History Museum; arrive at opening, see Hintze Hall, and the mammals gallery.",https://www.instagram.com/explore/locations/228000020/natural-history-museum/,Natural History Museum,555421482540020,51.496715,-0.176367,2025-12-14T10:05:00.000Z,1762,183000
axow_london,"Science Museum; spend 60 minutes in Wonderlab and Power galleries, then warm up at a café on Exhibition Road.",https://www.instagram.com/explore/locations/228000021/science-museum/,Science Museum,555421482540021,51.497800,-0.174500,2025-12-14T12:30:00.000Z,1538,156000
london_robs,"Design Museum; pair with a walk through Holland Park and the Kyoto Garden.",https://www.instagram.com/explore/locations/228000022/design-museum/,Design Museum,555421482540022,51.507500,-0.201300,2025-12-15T11:30:00.000Z,1689,198000
ukwithgabi,"Tate Modern; start at Boiler House, cross Millennium Bridge to St Paul’s.",https://www.instagram.com/explore/locations/228000023/tate-modern/,Tate Modern,555421482540023,51.507600,-0.099400,2025-12-15T13:40:00.000Z,1494,142000
london.travelers,"Tate Britain; check the winter exhibitions and walk the riverside to Westminster.",https://www.instagram.com/explore/locations/228000024/tate-britain/,Tate Britain,555421482540024,51.490900,-0.127100,2025-12-16T15:20:00.000Z,1906,215000
patrickguidelondon,"Saatchi Gallery; compact visit and coffee on Duke of York Square.",https://www.instagram.com/explore/locations/228000025/saatchi-gallery/,Saatchi Gallery,555421482540025,51.492700,-0.159900,2025-12-16T11:15:00.000Z,1420,183000
axow_london,"Somerset House ice skating; book early evening slots and watch the courtyard lights.",https://www.instagram.com/explore/locations/228000026/somerset-house/,Somerset House Ice Rink,555421482540026,51.511090,-0.116630,2025-12-17T18:00:00.000Z,2120,156000
london_robs,"Southbank Centre Winter Market; walk from the Eye to Blackfriars and stop for mulled drinks.",https://www.instagram.com/explore/locations/228000027/southbank-centre/,Southbank Winter Market,555421482540027,51.506300,-0.116200,2025-12-17T17:05:00.000Z,2055,198000
ukwithgabi,"Leadenhall Market; visit early for photos, then head to the Garden at 120 rooftop.",https://www.instagram.com/explore/locations/228000028/leadenhall-market/,Leadenhall Market,555421482540028,51.512300,-0.083200,2025-12-18T09:40:00.000Z,1522,142000
london.travelers,"Old Spitalfields Market; weekday lunch for fewer crowds and a Shoreditch street art loop.",https://www.instagram.com/explore/locations/228000029/old-spitalfields-market/,Old Spitalfields Market,555421482540029,51.519600,-0.073900,2025-12-18T12:30:00.000Z,1805,215000
patrickguidelondon,"Brick Lane beigel stop and vintage browsing; finish at Ely’s Yard for stalls.",https://www.instagram.com/explore/locations/228000030/brick-lane/,Brick Lane,555421482540030,51.522500,-0.071700,2025-12-18T14:10:00.000Z,1634,183000
axow_london,"Shoreditch street art; start at Chance Street and Whitby Street, then Boxpark for a warm drink.",https://www.instagram.com/explore/locations/228000031/shoreditch/,Shoreditch Street Art,555421482540031,51.525000,-0.078000,2025-12-19T10:20:00.000Z,1751,156000
london_robs,"Leake Street Arches graffiti; combine with a South Bank walk and Waterloo Bridge views.",https://www.instagram.com/explore/locations/228000032/leake-street-arches/,Leake Street Arches,555421482540032,51.501900,-0.114800,2025-12-19T13:10:00.000Z,1488,198000
ukwithgabi,"Little Venice canal walk; winter morning loop to Paddington Basin with coffee stops.",https://www.instagram.com/explore/locations/228000033/little-venice/,Little Venice,555421482540033,51.523600,-0.182000,2025-12-20T09:20:00.000Z,1396,142000
london.travelers,"Regent’s Canal towpath; walk Camden to King’s Cross and explore Coal Drops Yard.",https://www.instagram.com/explore/locations/228000034/regents-canal/,Regent’s Canal,555421482540034,51.538000,-0.150000,2025-12-20T12:40:00.000Z,1650,215000
patrickguidelondon,"Hampstead Heath; climb Parliament Hill for skyline views and loop the ponds.",https://www.instagram.com/explore/locations/228000035/hampstead-heath/,Hampstead Heath,555421482540035,51.556000,-0.170000,2025-12-21T10:05:00.000Z,1863,183000
axow_london,"Primrose Hill sunset; arrive 30 minutes before for the skyline silhouette.",https://www.instagram.com/explore/locations/228000036/primrose-hill/,Primrose Hill,555421482540036,51.536300,-0.160700,2025-12-21T16:00:00.000Z,1902,156000
london_robs,"Regent’s Park winter loop; Queen Mary’s Gardens and coffee at the boating lake café.",https://www.instagram.com/explore/locations/228000037/regents-park/,Regent’s Park,555421482540037,51.531270,-0.154460,2025-12-22T11:15:00.000Z,1412,198000
ukwithgabi,"Hyde Park Winter Wonderland; free entry, but book ice skating and shows in advance.",https://www.instagram.com/explore/locations/228000038/hyde-park/,Hyde Park Winter Wonderland,555421482540038,51.507268,-0.165730,2025-12-22T17:30:00.000Z,2250,142000
london.travelers,"Kensington Palace and Gardens; loop the Round Pond and the Italian Garden.",https://www.instagram.com/explore/locations/228000039/kensington-palace/,Kensington Palace,555421482540039,51.500900,-0.190900,2025-12-23T12:20:00.000Z,1725,215000
patrickguidelondon,"Kyoto Garden in Holland Park; quiet winter mornings, then Design Museum nearby.",https://www.instagram.com/explore/locations/228000040/kyoto-garden/,Kyoto Garden,555421482540040,51.504800,-0.210000,2025-12-23T10:15:00.000Z,1462,183000
axow_london,"Kew Gardens ‘Christmas at Kew’; timed entry after dark for the light trail.",https://www.instagram.com/explore/locations/228000041/kew-gardens/,Kew Gardens,555421482540041,51.478000,-0.295000,2025-12-23T19:00:00.000Z,2324,156000
london_robs,"Richmond Park deer; arrive at sunrise for best light and keep distance.",https://www.instagram.com/explore/locations/228000042/richmond-park/,Richmond Park,555421482540042,51.441600,-0.274000,2025-12-24T08:05:00.000Z,1880,198000
ukwithgabi,"Greenwich Park; panoramic hill view and loop to the Royal Observatory.",https://www.instagram.com/explore/locations/228000043/greenwich-park/,Greenwich Park,555421482540043,51.476900,-0.000500,2025-12-24T11:30:00.000Z,1608,142000
london.travelers,"Royal Observatory Greenwich; time your visit with the meridian line and sunset over Canary Wharf.",https://www.instagram.com/explore/locations/228000044/royal-observatory/,Royal Observatory Greenwich,555421482540044,51.476300,-0.000000,2025-12-24T15:40:00.000Z,1722,215000
patrickguidelondon,"Cutty Sark; quick tour and then Greenwich Market for winter snacks.",https://www.instagram.com/explore/locations/228000045/cutty-sark/,Cutty Sark,555421482540045,51.482900,-0.009800,2025-12-25T11:20:00.000Z,1491,183000
axow_london,"Greenwich Market; weekend afternoons for food stalls and artisan gifts.",https://www.instagram.com/explore/locations/228000046/greenwich-market/,Greenwich Market,555421482540046,51.482600,-0.010600,2025-12-25T13:10:00.000Z,1620,156000
london_robs,"IFS Cloud Cable Car (Emirates Air Line); cross at blue hour and walk the peninsula.",https://www.instagram.com/explore/locations/228000047/london-cable-car/,London Cable Car,555421482540047,51.501000,0.004000,2025-12-26T17:20:00.000Z,1806,198000
ukwithgabi,"Canary Wharf Winter Lights; plan 90 minutes and use the map for the installations.",https://www.instagram.com/explore/locations/228000048/canary-wharf/,Canary Wharf Winter Lights,555421482540048,51.505400,-0.023500,2026-01-18T18:10:00.000Z,2204,142000
london.travelers,"Columbia Road Flower Market off-season; Sunday morning for fewer crowds and coffee on Ezra Street.",https://www.instagram.com/explore/locations/228000049/columbia-road-flower-market/,Columbia Road Flower Market,555421482540049,51.529600,-0.071700,2026-01-05T09:40:00.000Z,1512,215000
patrickguidelondon,"Portobello Road Market; early start, antiques first, then food near Talbot Road.",https://www.instagram.com/explore/locations/228000050/portobello-road-market/,Portobello Road Market,555421482540050,51.516500,-0.205400,2025-12-27T09:20:00.000Z,1962,183000
axow_london,"Notting Hill color walk; Westbourne Grove to Lancaster Road, avoid midday crowds.",https://www.instagram.com/explore/locations/228000051/notting-hill/,Notting Hill,555421482540051,51.513600,-0.200600,2025-12-27T11:15:00.000Z,1642,156000
london_robs,"Battersea Power Station; riverside walk and coffee in the new arcade.",https://www.instagram.com/explore/locations/228000052/battersea-power-station/,Battersea Power Station,555421482540052,51.481000,-0.144000,2025-12-28T14:10:00.000Z,1706,198000
ukwithgabi,"Battersea Park winter loop; Peace Pagoda and riverside cafe warm-up.",https://www.instagram.com/explore/locations/228000053/battersea-park/,Battersea Park,555421482540053,51.478000,-0.160000,2025-12-28T11:05:00.000Z,1398,142000
london.travelers,"Chelsea Physic Garden; winter guided tour and glasshouses as a weather backup.",https://www.instagram.com/explore/locations/228000054/chelsea-physic-garden/,Chelsea Physic Garden,555421482540054,51.485100,-0.156500,2025-12-29T10:30:00.000Z,1556,215000
patrickguidelondon,"Windsor Castle day trip; prebook entry and walk the Long Walk if weather allows.",https://www.instagram.com/explore/locations/228000055/windsor-castle/,Windsor Castle,555421482540055,51.483900,-0.604400,2026-01-03T10:20:00.000Z,2114,183000
axow_london,"Hampton Court Palace; winter kitchens tour and ice rink if operating.",https://www.instagram.com/explore/locations/228000056/hampton-court-palace/,Hampton Court Palace,555421482540056,51.403600,-0.337300,2025-12-30T11:30:00.000Z,1768,156000
london_robs,"Eltham Palace; Art Deco interiors and gardens, good winter architecture stop.",https://www.instagram.com/explore/locations/228000057/eltham-palace/,Eltham Palace,555421482540057,51.449200,0.052800,2026-01-07T12:10:00.000Z,1460,198000
ukwithgabi,"Dulwich Picture Gallery; compact visit and coffee on Dulwich Village High Street.",https://www.instagram.com/explore/locations/228000058/dulwich-picture-gallery/,Dulwich Picture Gallery,555421482540058,51.452500,-0.086200,2026-01-08T10:05:00.000Z,1324,142000
london.travelers,"Horniman Museum; aquarium and gardens for a family-friendly winter day.",https://www.instagram.com/explore/locations/228000059/horniman-museum/,Horniman Museum,555421482540059,51.441600,-0.060800,2026-01-09T11:40:00.000Z,1412,215000
patrickguidelondon,"God’s Own Junkyard; neon wonderland and coffee at the onsite café.",https://www.instagram.com/explore/locations/228000060/gods-own-junkyard/,God’s Own Junkyard,555421482540060,51.591200,-0.010600,2026-01-10T14:20:00.000Z,1735,183000
axow_london,"Sky Garden ticket tip; choose morning for cooler tones or late slots for warm city lights.",https://www.instagram.com/explore/locations/228000008/sky-garden/,Sky Garden,555421482540061,51.510881,-0.083778,2025-12-31T10:00:00.000Z,1580,156000
london_robs,"Barbican Conservatory; Sunday opening, book timed entry and explore brutalist lines.",https://www.instagram.com/explore/locations/228000061/barbican-conservatory/,Barbican Conservatory,555421482540062,51.520400,-0.093100,2026-01-12T12:30:00.000Z,1644,198000
ukwithgabi,"St Dunstan in the East; quiet ruin garden and a short walk to the river.",https://www.instagram.com/explore/locations/228000062/st-dunstan-in-the-east/,St Dunstan in the East,555421482540063,51.510200,-0.083700,2026-01-12T11:10:00.000Z,1498,142000
london.travelers,"St Katharine Docks; marina loop and Tower Bridge photos from the east side.",https://www.instagram.com/explore/locations/228000063/st-katharine-docks/,St Katharine Docks,555421482540064,51.508300,-0.072300,2026-01-13T15:20:00.000Z,1520,215000
patrickguidelondon,"Greenwich Foot Tunnel; quick crossing experience and views back to the city.",https://www.instagram.com/explore/locations/228000064/greenwich-foot-tunnel/,Greenwich Foot Tunnel,555421482540065,51.487000,-0.003000,2026-01-13T12:05:00.000Z,1380,183000
axow_london,"Granary Square fountains; walk Coal Drops Yard and the canal to Camden.",https://www.instagram.com/explore/locations/228000065/granary-square/,Granary Square,555421482540066,51.534300,-0.125600,2026-01-14T14:30:00.000Z,1672,156000
london_robs,"Coal Drops Yard; shops and restaurants, then Gasholder Park for a short stop.",https://www.instagram.com/explore/locations/228000066/coal-drops-yard/,Coal Drops Yard,555421482540067,51.534900,-0.125300,2026-01-14T16:10:00.000Z,1532,198000
ukwithgabi,"St Pancras and King’s Cross architecture; Victorian frontage and the Harry Potter trolley photo.",https://www.instagram.com/explore/locations/228000067/st-pancras-international/,St Pancras International,555421482540068,51.531500,-0.126300,2026-01-15T10:15:00.000Z,1591,142000
london.travelers,"British Library Treasures; short visit for Magna Carta and the Beatles manuscripts.",https://www.instagram.com/explore/locations/228000068/british-library/,British Library,555421482540069,51.529900,-0.127000,2026-01-15T12:30:00.000Z,1486,215000
patrickguidelondon,"Postman’s Park; memorial garden and a quiet winter bench stop near the Museum of London.",https://www.instagram.com/explore/locations/228000069/postmans-park/,Postman’s Park,555421482540070,51.516480,-0.099980,2026-01-16T11:20:00.000Z,1359,183000
axow_london,"Marylebone High Street; browse Daunt Books and warm up at a neighborhood café.",https://www.instagram.com/explore/locations/228000070/marylebone-high-street/,Marylebone High Street,555421482540071,51.522700,-0.153000,2026-01-16T14:10:00.000Z,1426,156000
london_robs,"Daunt Books; wooden galleries and travel shelves, then a pastry at La Fromagerie.",https://www.instagram.com/explore/locations/228000071/daunt-books/,Daunt Books,555421482540072,51.520900,-0.152700,2026-01-16T15:10:00.000Z,1390,198000
ukwithgabi,"Royal Opera House backstage tour; book ahead and pair with Covent Garden market.",https://www.instagram.com/explore/locations/228000072/royal-opera-house/,Royal Opera House,555421482540073,51.512100,-0.122800,2026-01-17T10:30:00.000Z,1714,142000
london.travelers,"Shakespeare’s Globe; exhibition and theater tour, then river walk to Borough Market.",https://www.instagram.com/explore/locations/228000073/shakespeares-globe/,Shakespeare’s Globe,555421482540074,51.508100,-0.097700,2026-01-17T12:10:00.000Z,1660,215000
patrickguidelondon,"HMS Belfast; board the ship, then walk to Tower Bridge for classic photos.",https://www.instagram.com/explore/locations/228000074/hms-belfast/,HMS Belfast,555421482540075,51.506400,-0.081800,2026-01-18T11:20:00.000Z,1508,183000
axow_london,"Imperial War Museum; two hours indoors for a rainy winter afternoon.",https://www.instagram.com/explore/locations/228000075/imperial-war-museum/,Imperial War Museum,555421482540076,51.495800,-0.108600,2026-01-18T14:30:00.000Z,1622,156000
london_robs,"Churchill War Rooms; timed entry and audio guide, then St James’s Park loop.",https://www.instagram.com/explore/locations/228000076/churchill-war-rooms/,Churchill War Rooms,555421482540077,51.502000,-0.129000,2026-01-19T10:15:00.000Z,1896,198000
ukwithgabi,"Wallace Collection; compact visit near Marylebone and lunch on Wigmore Street.",https://www.instagram.com/explore/locations/228000077/wallace-collection/,Wallace Collection,555421482540078,51.517200,-0.153700,2026-01-19T12:05:00.000Z,1428,142000
london.travelers,"National Portrait Gallery; check the rehang and loop Trafalgar Square afterward.",https://www.instagram.com/explore/locations/228000078/national-portrait-gallery/,National Portrait Gallery,555421482540079,51.509400,-0.127600,2026-01-20T12:40:00.000Z,1550,215000
patrickguidelondon,"Royal Academy of Arts; winter exhibition and a stroll down Burlington Arcade.",https://www.instagram.com/explore/locations/228000079/royal-academy-of-arts/,Royal Academy of Arts,555421482540080,51.509500,-0.139200,2026-01-20T15:00:00.000Z,1482,183000
axow_london,"London Transport Museum; family-friendly and near the market for lunch.",https://www.instagram.com/explore/locations/228000080/london-transport-museum/,London Transport Museum,555421482540081,51.511800,-0.120100,2026-01-21T11:30:00.000Z,1635,156000
london_robs,"Museum of London Docklands; warm indoor plan near Canary Wharf and riverside walk.",https://www.instagram.com/explore/locations/228000081/museum-of-london-docklands/,Museum of London Docklands,555421482540082,51.507000,-0.020300,2026-01-21T13:45:00.000Z,1468,198000
